,MONTH_NO,QTY,FEATURE_1_냉동,FEATURE_1_냉장,FEATURE_1_상온,FEATURE_2_B2B,FEATURE_2_B2C,FEATURE_2_미지정,FEATURE_4_O,FEATURE_4_X,FEATURE_5_A,FEATURE_5_B,FEATURE_5_C
0,2015-01-01,404.0,0.32104764808138964,0.6658785930999901,0.9080121381075178,0.434413018440427,0.7904817817584227,0.7369418230407959,0.3595875127046737,0.5200303621863663,0.12060455751471189,0.7007775218243738,0.6966940566775753
1,2015-02-01,257.0,0.8547147226340681,0.6519856298696485,0.7484149298051772,0.2399607709496615,0.20534163556446183,0.2444073014777105,0.06523333295577216,0.1383593537193587,0.01209340285580851,0.8617105088206833,0.4959018700009351
2,2015-03-01,409.0,0.8144888172143147,0.48144444309592904,0.7047636477721574,0.6883242557689199,0.02902930419729144,0.8049248239030928,0.9623586589676579,0.7621264083952495,0.6427617845652464,0.2959400355921139,0.9416227737291444
3,2015-04-01,402.0,0.24285385970268325,0.26554013023282963,0.3824410639952557,0.2668563449614585,0.16241916094182618,0.1868048854897053,0.4315536872535205,0.9873739678899267,0.7777991529139079,0.7306807586758597,0.21296387380916126
4,2015-05-01,367.0,0.35774352672584164,0.7350708265519901,0.5408538929557877,0.4020832358075439,0.04690724131363022,0.5856024547472681,0.06332411956482065,0.3626268627740453,0.4378076759295343,0.4001812424270498,0.6224498559234668
5,2015-06-01,492.99999999999994,0.35114582888805856,0.019309162738067487,0.9112482521551746,0.8243508363819492,0.055397515550610565,0.6928342566244201,0.9876441278611807,0.6342230867438131,0.99734879542881,0.5131741191840958,0.9490004782179167
6,2015-07-01,368.0,0.654826241365228,0.3197800236074584,0.8554255921187133,0.5477964305640552,0.9660721885613142,0.49898999899141017,0.7593328123999632,0.9632114134461589,0.03330921050252855,0.8812758185822658,0.4036612864044463
7,2015-08-01,490.0,0.8116735874636689,0.5883629344929587,0.872701310909556,0.8945289194541892,0.5430627342937949,0.3798343600563666,0.9958250911943717,0.7375392762255903,0.8631677392020268,0.7753819561880081,0.2541783044785775
8,2015-09-01,389.0,0.8906580026557777,0.3083546574519884,0.48182688455302103,0.141022358762947,0.2281872441594568,0.11769743600458271,0.5168710076747013,0.5980501459731523,0.9100928699672428,0.14042301093057796,0.8792208961176908
9,2015-10-01,316.0,0.9549006717848083,0.9987023236846295,0.38031830533073585,0.2638112496341207,0.2756431309842632,0.051538047859462255,0.8874164743292047,0.25827505132717876,0.785037104757664,0.14247885611799715,0.11515142127878908
10,2015-11-01,353.0,0.8599236654243096,0.020127563844908325,0.21072490586662718,0.688751895843589,0.4729164851513389,0.5387048712210191,0.44225338671770065,0.38596469502225383,0.690837999667741,0.39867935323545667,0.25710624840433116
11,2015-12-01,302.0,0.4756038459291885,0.10324999509723187,0.9936275470570256,0.2793345321790365,0.7250864967836157,0.8627087076374804,0.5375598572623492,0.772801933928663,0.6711851412992449,0.7221234170563471,0.41686972824008817
12,2016-01-01,485.99999999999994,0.43637885291816225,0.7752845074233357,0.7354152443016062,0.2199437417005986,0.059407192702409906,0.052570772561382206,0.1763229968112151,0.8563435593172499,0.4832077557276774,0.8823428866755262,0.6297865393189458
13,2016-02-01,267.0,0.4805568350068361,0.11639175430476467,0.42353621895912286,0.10173940243072088,0.7024221588881099,0.6578806580593565,0.04512672361287284,0.9878678293343123,0.9132979856098685,0.7233197177110466,0.3102881295588761
